codigo,titulo,gama,vendas,margem_bruta,carrinho_medio,numero_clientes
92219974,Cond Split Inv Gtop wf 12k Q/f 220v Gree,A,21 760,9.6,1 813.33,12
92184561,Evap Split Inv Eco ll Wifi 12k Q/f 220v,B,21 309,3.6,926.48,23
91019012,Sup Triart Par tv 26  a 55  Vesa 400 Elg,B,20 878,30.4,294.06,71
92229186,Cond Spt Inv Auto Wifi 12k Q/f 220 Gree,A,20 742,12.1,2 074.15,10
92199632,Cond Xtreme Inv Conect 12k Q/f 220 Black,B,20 222,8.9,2 527.72,8
90350162,Pilha aa C/16 Duracell,A,19 792,23.3,106.98,185
89281206,Mod Tom 2p+t 20a 250v br Stella,A,19 404,37.5,32.33,600
92197952,Evap Split Inv New 9k Q/f 220v,B,18 946,13.5,947.31,20
90350155,Pilha Aaa C/16 Duracell,A,18 362,23.3,97.15,189
92249696,Evap G-classic b 18k Q/f 220v Gree,A,18 186,11.2,1 515.50,12
91900431,Aquecedor Oleo 1500w 127v Equation,B,18 020,14.0,439.51,41
92220142,Evap Split On/off Gtop 9k Q/f 220v Gree,A,17 848,11.4,892.41,20
91854196,Aquecedor Termovent Aqc422 127v Cadence,B,17 428,11.6,127.21,137
91953841,"Cabo Flex 450/750v 2,5mm vm 100m Cbcom",A,17 407,11.3,214.89,81
92184603,Evap Split Inv Eco ll Wifi 24k Q/f 220v,B,17 274,6.8,1 727.40,10
88329192,Canaleta 20x12 2m c Adesivo Dxn 10051,A,17 164,34.9,41.45,414
86839690,"Cabo Flexivel 2,5mm2 100m vd Sil",A,16 797,7.2,243.43,69
90991012,Ar Cond Split 12k fr Tcl,B,16 691,8.2,1 854.55,9
91900382,Aquecedor Torre 1500w 127v Equation,B,16 520,14.6,384.19,43
92184582,Evap Split Inv Eco ll Wifi 18k Q/f 220v,B,16 344,4.3,1 485.77,11
92197945,Cond Split Inv New 24k fr 220v,B,15 948,8.9,2 658.00,6
92170981,Cond Xtreme Inv Save Conect 9k Q/f 220,B,15 872,8.5,1 983.94,8
91854175,Aquecedor Halogeno Aqc305 127v Cadence,B,15 428,14.3,257.13,60
86840586,"Cabo Flex 10,0mm2 50m pr Sil",A,15 307,20.7,527.83,29
87340596,Lareira Met Suica 40m3(60x60x110)cm-mv,C,15 270,5.1,1 090.68,14
87849790,Pilha Alcalina Pequena aa C/4 Duracell,A,15 108,32.2,30.33,498
91947730,Camera Externa Im7 Full hd Wifi Intel,A,15 018,14.4,938.60,16
92171023,Cond Xtreme Inv Save Conect 18k Q/f 220,B,15 000,8.3,2 500.00,6
92117200,Split Inverter t Pro 12k Q/f Tcl,B,14 994,7.5,2 499.00,6
87850833,Pilha Alcalina Palito Aaa C/4 Duracell,A,14 818,32.5,30.80,481
92197924,Cond Split Inv New 18k fr 220v,B,14 800,8.9,2 114.28,7
89525793,Conj Tom 2p+t 4x2 20a 250v Stella,A,14 481,15.6,23.28,622
91874692,Calefator Dupla Comb + Kit Instalação,C,14 445,7.1,2 407.51,6
85639624,Fita Isolante 33+19mmx20m 3m,A,14 438,17.1,31.04,465
91953806,"Cabo Flex 450/750v 2,5mm az 100m Cbcom",A,14 436,13.0,225.56,64
91797636,Desumid Desidrat Plus 300 127v Thermo,B,14 288,10.0,3 572.00,4
